,type,url,review_rating,film_name,no_of_reviewer
0,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,96%,Black Panther (2018),525
1,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,94%,Avengers: Endgame (2019),546
2,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Mission: Impossible - Fallout (2018),437
3,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Mad Max: Fury Road (2015),433
4,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392
5,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Wonder Woman (2017),471
6,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,97%,Coco (2017),352
7,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,92%,Dunkirk (2017),461
8,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,91%,Star Wars: The Last Jedi (2017),482
9,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Thor: Ragnarok (2017),436
10,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,Seven Samurai (Shichinin no Samurai) (1956),87
11,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Logan (2017),423
12,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Star Wars: Episode VII - The Force Awakens (2015),443
13,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,100%,The Adventures of Robin Hood (1938),48
14,Top 100 Action & Adventure Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_action__adventure_movies/,93%,Incredibles 2 (2018),387
15,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,97%,Toy Story 4 (2019),452
16,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392
17,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,98%,Inside Out (2015),376
18,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,97%,Coco (2017),352
19,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,98%,Snow White and the Seven Dwarfs (1937),54
20,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,93%,Incredibles 2 (2018),387
21,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,98%,Zootopia (2016),297
22,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,99%,Paddington 2 (2018),246
23,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,98%,Up (2009),298
24,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,98%,Toy Story 3 (2010),309
25,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,100%,Toy Story 2 (1999),169
26,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,94%,Finding Dory (2016),336
27,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,100%,Pinocchio (1940),56
28,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,99%,Finding Nemo (2003),269
29,Top 100 Animation Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_animation_movies/,96%,The LEGO Movie (2014),253
30,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,98%,Parasite (Gisaengchung) (2019),463
31,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),67
32,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,97%,La Grande illusion (Grand Illusion) (1938),68
33,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,100%,Seven Samurai (Shichinin no Samurai) (1956),87
34,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",67
35,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,99%,The Battle of Algiers (La Battaglia di Algeri) (1967),89
36,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,99%,Shoplifters (Manbiki kazoku) (2018),227
37,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,97%,Metropolis (1927),133
38,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,100%,M (1931),60
39,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,98%,Rashômon (1951),56
40,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,97%,Army of Shadows (L'Armée des ombres) (1969),75
41,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,100%,Tokyo Story (Tôkyô monogatari) (1953),49
42,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,100%,Battleship Potemkin (1925),49
43,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,97%,Pather Panchali (1955),71
44,Top 100 Art House & International Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_art_house__international_movies/,100%,The Wages of Fear (1953),45
45,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,It Happened One Night (1934),97
46,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,98%,Modern Times (1936),108
47,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,Citizen Kane (1941),117
48,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,The Wizard of Oz (1939),145
49,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,Casablanca (1942),124
50,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,All About Eve (1950),103
51,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,100%,The Philadelphia Story (1940),101
52,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),67
53,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,100%,Rebecca (1940),94
54,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,98%,Rear Window (1954),122
55,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,99%,The Third Man (1949),84
56,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,97%,A Night at the Opera (1935),69
57,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,100%,Singin' in the Rain (1952),67
58,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,97%,La Grande illusion (Grand Illusion) (1938),68
59,Top 100 Classics Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_classics_movies/,100%,Seven Samurai (Shichinin no Samurai) (1956),87
60,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,99%,It Happened One Night (1934),97
61,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,98%,Modern Times (1936),108
62,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,97%,Toy Story 4 (2019),452
63,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,99%,Lady Bird (2017),398
64,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,96%,BlacKkKlansman (2018),447
65,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,100%,The Philadelphia Story (1940),101
66,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,99%,Eighth Grade (2018),318
67,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,96%,Booksmart (2019),376
68,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,97%,Coco (2017),352
69,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,97%,The Farewell (2019),343
70,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,97%,A Night at the Opera (1935),69
71,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,100%,Singin' in the Rain (1952),67
72,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,98%,The Big Sick (2017),303
73,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,100%,The Kid (1921),48
74,Top 100 Comedy Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_comedy_movies/,85%,Once Upon a Time In Hollywood (2019),568
75,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,97%,Won't You Be My Neighbor? (2018),255
76,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,I Am Not Your Negro (2017),210
77,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,Apollo 11 (2019),186
78,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,98%,Life Itself (2014),203
79,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,100%,Man on Wire (2008),158
80,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,Amazing Grace (2019),160
81,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,100%,Minding the Gap (2018),123
82,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,"Faces Places (Visages, villages) (2017)",142
83,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,Collective (Colectiv) (2020),130
84,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,McQueen (2018),126
85,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,100%,Crip Camp: A Disability Revolution (2020),99
86,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,96%,Three Identical Strangers (2018),186
87,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,97%,Weiner (2016),177
88,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,99%,20 Feet From Stardom (2013),128
89,Top 100 Documentary Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_documentary_movies/,95%,Amy (2015),225
90,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,96%,Black Panther (2018),525
91,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,99%,Citizen Kane (1941),117
92,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,98%,Parasite (Gisaengchung) (2019),463
93,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,94%,Avengers: Endgame (2019),546
94,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,99%,Casablanca (1942),124
95,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,97%,Knives Out (2019),467
96,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,99%,Lady Bird (2017),398
97,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,97%,Mission: Impossible - Fallout (2018),437
98,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,96%,BlacKkKlansman (2018),447
99,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,95%,The Irishman (2019),455
100,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,97%,The Godfather (1972),133
101,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,99%,All About Eve (1950),103
102,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,98%,Moonlight (2016),393
103,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,93%,Wonder Woman (2017),471
104,Top 100 Drama Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_drama_movies/,96%,Roma (2018),400
105,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,93%,Us (2019),552
106,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,Get Out (2017),397
107,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),67
108,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,96%,A Quiet Place (2018),387
109,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",67
110,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,King Kong (1933),66
111,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,96%,Psycho (1960),104
112,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,91%,The Invisible Man (2020),410
113,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,The Bride of Frankenstein (1935),47
114,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,The Babadook (2014),241
115,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,100%,Frankenstein (1931),49
116,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,90%,The Lighthouse (2019),381
117,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,89%,Hereditary (2018),382
118,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,95%,It Follows (2015),265
119,Top 100 Horror Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_horror_movies/,98%,Let the Right One In (2008),191
120,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,99%,The Wizard of Oz (1939),145
121,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,97%,Toy Story 4 (2019),452
122,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,97%,Spider-Man: Into the Spider-Verse (2018),392
123,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Inside Out (2015),376
124,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,97%,Coco (2017),352
125,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Snow White and the Seven Dwarfs (1937),54
126,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,E.T. The Extra-Terrestrial (1982),133
127,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,93%,Incredibles 2 (2018),387
128,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,99%,Paddington 2 (2018),246
129,Top 100 Kids & Family Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_kids__family_movies/,98%,Up (2009),298
